Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father Id,Mother Id
3,3301,,EPL,48,female,unsp,unspecified,1361,837
3,21,1112,,N/A,male,unsp,Colony,,
3,67,2451,,N/A,male,unsp,Colony,,
3,1361,,,14,male,unsp,unspecified,43,45
3,1525,,,20,male,unsp,unspecified,67,69
4,19,1063,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,837,EPR,,15,female,unsp,unspecified,49,47
4,1349,,,13,female,unsp,unspecified,41,39
4,41,2437,,N/A,male,unsp,Colony,,
4,43,1850,,N/A,male,unsp,Colony,,
4,49,1838,,N/A,male,unsp,Colony,,
4,67,2451,,N/A,male,unsp,Colony,,
4,39,2406,,N/A,female,unsp,Colony,,
4,45,1941,,N/A,female,unsp,Colony,,
4,47,2407,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,6616,,,116,male,unsp,unspecified,6243,6317
4,6624,,,100,female,unsp,unspecified,3415,3316
4,3415,,EPL,71,male,unsp,unspecified,1431,1407
4,6243,,,49,male,unsp,unspecified,1373,832
5,3316,,,75,female,unsp,unspecified,1497,1161
5,6317,,,95,female,unsp,unspecified,3382,3301
5,1373,,EPR,25,male,unsp,unspecified,177,167
5,1431,,EPL,26,male,unsp,unspecified,179,169
5,1497,,,10,male,unsp,unspecified,27,29
5,3382,,,76,male,unsp,unspecified,1525,1349
5,832,,EPL,24,female,unsp,unspecified,175,165
5,1161,,,20,female,unsp,unspecified,67,69
1,1407,,,16,female,unsp,unspecified,51,53
1,3301,,EPL,48,female,unsp,unspecified,1361,837
2,27,1793,,N/A,male,unsp,Colony,,
2,51,1974,,N/A,male,unsp,Colony,,
2,67,2451,,N/A,male,unsp,Colony,,
2,175,4238,,N/A,male,unsp,Colony,,
3,177,4241,,N/A,male,unsp,Colony,,
3,179,4301,,N/A,male,unsp,Colony,,
3,1361,,,14,male,unsp,unspecified,43,45
3,1525,,,20,male,unsp,unspecified,67,69
3,29,1994,,N/A,female,unsp,Colony,,
3,53,2318,,N/A,female,unsp,Colony,,
3,69,1991,,N/A,female,unsp,Colony,,
3,165,3971,,N/A,female,unsp,Colony,,
1,167,4216,,N/A,female,unsp,Colony,,
1,169,4232,,N/A,female,unsp,Colony,,
2,837,EPR,,15,female,unsp,unspecified,49,47
2,1349,,,13,female,unsp,unspecified,41,39
2,41,2437,,N/A,male,unsp,Colony,,
2,43,1850,,N/A,male,unsp,Colony,,
3,49,1838,,N/A,male,unsp,Colony,,
3,67,2451,,N/A,male,unsp,Colony,,
3,39,2406,,N/A,female,unsp,Colony,,
3,45,1941,,N/A,female,unsp,Colony,,
3,47,2407,,N/A,female,unsp,Colony,,
3,69,1991,,N/A,female,unsp,Colony,,
3,3415,,EPL,71,male,unsp,unspecified,1431,1407
3,3316,,,75,female,unsp,unspecified,1497,1161
4,1431,,EPL,26,male,unsp,unspecified,179,169
4,1497,,,10,male,unsp,unspecified,27,29
4,1161,,,20,female,unsp,unspecified,67,69
4,1407,,,16,female,unsp,unspecified,51,53
4,27,1793,,N/A,male,unsp,Colony,,
4,51,1974,,N/A,male,unsp,Colony,,
4,67,2451,,N/A,male,unsp,Colony,,
4,179,4301,,N/A,male,unsp,Colony,,
4,29,1994,,N/A,female,unsp,Colony,,
4,53,2318,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,169,4232,,N/A,female,unsp,Colony,,
4,6616,,,116,male,unsp,unspecified,6243,6317
4,6624,,,100,female,unsp,unspecified,3415,3316
4,3415,,EPL,71,male,unsp,unspecified,1431,1407
4,6243,,,49,male,unsp,unspecified,1373,832
5,3316,,,75,female,unsp,unspecified,1497,1161
5,6317,,,95,female,unsp,unspecified,3382,3301
5,1373,,EPR,25,male,unsp,unspecified,177,167
5,1431,,EPL,26,male,unsp,unspecified,179,169
5,1497,,,10,male,unsp,unspecified,27,29
5,3382,,,76,male,unsp,unspecified,1525,1349
5,832,,EPL,24,female,unsp,unspecified,175,165
5,1161,,,20,female,unsp,unspecified,67,69
,1407,,,16,female,unsp,unspecified,51,53
,3301,,EPL,48,female,unsp,unspecified,1361,837
,27,1793,,N/A,male,unsp,Colony,,
,51,1974,,N/A,male,unsp,Colony,,
,67,2451,,N/A,male,unsp,Colony,,
,175,4238,,N/A,male,unsp,Colony,,
,177,4241,,N/A,male,unsp,Colony,,
,179,4301,,N/A,male,unsp,Colony,,
,1361,,,14,male,unsp,unspecified,43,45
,1525,,,20,male,unsp,unspecified,67,69
,29,1994,,N/A,female,unsp,Colony,,
,53,2318,,N/A,female,unsp,Colony,,
,69,1991,,N/A,female,unsp,Colony,,
,165,3971,,N/A,female,unsp,Colony,,
,167,4216,,N/A,female,unsp,Colony,,
,169,4232,,N/A,female,unsp,Colony,,
,837,EPR,,15,female,unsp,unspecified,49,47
,1349,,,13,female,unsp,unspecified,41,39
,41,2437,,N/A,male,unsp,Colony,,
,43,1850,,N/A,male,unsp,Colony,,
,49,1838,,N/A,male,unsp,Colony,,
,67,2451,,N/A,male,unsp,Colony,,
,39,2406,,N/A,female,unsp,Colony,,
,45,1941,,N/A,female,unsp,Colony,,
,47,2407,,N/A,female,unsp,Colony,,
,69,1991,,N/A,female,unsp,Colony,,
