Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex,
,,,,,,,,,,,,
2,6595,,,99,female,unsp,0,3405,3254,,2,
,,,,,,,,,,,,
3,3405,,,81,male,unsp,0,1399,1419,,1,
,,,,,,,,,,,,
3,6294,,,63,male,unsp,0,1415,1368,,1,
,,,,,,,,,,,,
3,3254,,,63,female,unsp,0,1415,1368,,2,
,,,,,,,,,,,,
3,6350,,,99,female,unsp,0,3405,3254,,2,
,,,,,,,,,,,,
4,1399,,EPL,15,male,unsp,0,49,47,,1,
,,,,,,,,,,,,
4,1419,,,12,female,unsp,0,35,37,,2,
,,,,,,,,,,,,
5,35,1786,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
5,37,2315,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
NA,8332,,,135,male,,0,7858,7888,,1,
,,,,,,,,,,,,
1,7858,,EPL,115,male,unsp,0,6256,6318,,1,
,,,,,,,,,,,,
1,7888,,EPL,128,female,unsp,0,7500,7471,,2,
,,,,,,,,,,,,
2,7500,,,104,male,unsp,0,6308,6317,,1,
,,,,,,,,,,,,
2,7471,,,100,female,unsp,0,3415,3316,,2,
,,,,,,,,,,,,
NA,8285,,,136,female,,0,136m,7896,,2,
,,,,,,,,,,,,
NA,136m,dad,,129,male,,0,7464,7470,,1,
,,,,,,,,,,,,
,O150,,,CU13/IL01,male,,1,CU13m,IL01f,,,
,,,,,,,,,,,,
,CU13m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL01f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O128,,,IL09/IL05,male,,1,IL09m,IL05f,,,
,,,,,,,,,,,,
,IL09m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL05f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O149,,,IL08/IL05,male,,1,IL08m,IL05f,,,
,,,,,,,,,,,,
,IL08m,,,,male,,7,,,,,
,,,,,,,,,,,,
,O129,,,CU12/IL07,male,,1,CU12m,IL07f,,,
,,,,,,,,,,,,
,CU12m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL07f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O127,,,wild16-4/IL05,male,,1,wild16-4m,IL05f,,,
,,,,,,,,,,,,
,wild16-4m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL05f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O122,,,IL08/IL07,male,,1,IL08m,IL07f,,,
,,,,,,,,,,,,
,IL08m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL07f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O125,,,IL03/IL09,male,,1,IL03m,IL09f,,,
,,,,,,,,,,,,
,IL03m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL09f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O131,,,CU13/2146wild,female,,1,CU13m,2146wildf,,,
,,,,,,,,,,,,
,CU13m,,,,male,,7,,,,,
,,,,,,,,,,,,
,2146wildf,,,,female,,7,,,,,
,,,,,,,,,,,,
,O130,,,IL08/IL14,female,,1,IL08m,IL14f,,,
,,,,,,,,,,,,
,IL08m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL14f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O148,,,IL14/IL07,female,,1,IL14m,IL07f,,,
,,,,,,,,,,,,
,IL14m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL07f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O147,,,IL01/IL06,female,,1,IL01m,IL06f,,,
,,,,,,,,,,,,
,IL01m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL06f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O146,,,2195wild/2143wild,female,,1,2195wildm,2143wildf,,,
,,,,,,,,,,,,
,2195wildm,,,,male,,7,,,,,
,,,,,,,,,,,,
,2143wildf,,,,female,,7,,,,,
,,,,,,,,,,,,
,O123,,,IL05/IL01,female,,1,IL05m,IL01f,,,
,,,,,,,,,,,,
,IL05m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL01f,,,,female,,7,,,,,
,,,,,,,,,,,,
,O124,,,IL05/IL01,female,,1,IL05m,IL01f,,,
,,,,,,,,,,,,
,IL05m,,,,male,,7,,,,,
,,,,,,,,,,,,
,IL01f,,,,female,,7,,,,,
,,,,,,,,,,,,
,200b,,,200,male,,3,148b1,O124,,,
,,,,,,,,,,,,
,201b,,,201,male,,3,O125,147b,,,
,,,,,,,,,,,,
,202b,,,202,male,,3,b1b1,O147,,,
,,,,,,,,,,,,
,203b,,,203,male,,3,O149,150b1,,,
,,,,,,,,,,,,
,204b,,,204,male,,3,143b,O130,,,
,,,,,,,,,,,,
,205b,,,205,male,,3,c1b,O123,,,
,,,,,,,,,,,,
,206b,,,206,male,,3,O150,c3b,,,
,,,,,,,,,,,,
,207b,,,207,female,,3,O128,b2b,,,
,,,,,,,,,,,,
,208b,,,208,female,,3,O127,139b,,,
,,,,,,,,,,,,
,209b,,,209,female,,3,O122,151b,,,
,,,,,,,,,,,,
,210b,,,210,female,,3,153b,O131,,,
,,,,,,,,,,,,
,211b,,,211,female,,3,148b2,O146,,,
,,,,,,,,,,,,
,212b,,,212,female,,3,b1b2,O148,,,
,,,,,,,,,,,,
,213b,,,213,female,,3,O129,150b2,,,
