,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex
203,3,1308,,,18,female,unsp,unspecified,59,61,,2
204,3,1363,,EPL,14,female,unsp,unspecified,43,45,,2
205,1,7859,,,111,male,unsp,unspecified,6237,6312,,1
206,1,7695,,,124,female,unsp,unspecified,6590,6595,,2
207,2,6590,,EPL,103,male,unsp,unspecified,6294,6350,,1
208,2,6595,,,99,female,unsp,unspecified,3405,3254,,2
209,3,3405,,,81,male,unsp,unspecified,1399,1419,,1
210,3,6294,,,63,male,unsp,unspecified,1415,1368,,1
211,3,3254,,,63,female,unsp,unspecified,1415,1368,,2
212,3,6350,,,99,female,unsp,unspecified,3405,3254,,2
213,4,1399,,EPL,15,male,unsp,unspecified,49,47,,1
214,4,1419,,,12,female,unsp,unspecified,35,37,,2
215,5,35,1786,,N/A,male,unsp,Colony,,,,1
216,5,37,2315,,N/A,female,unsp,Colony,,,,2
217,NA,8332,,,135,male,,,7858,7888,,1
218,1,7858,,EPL,115,male,unsp,unspecified,6256,6318,,1
219,1,7888,,EPL,128,female,unsp,unspecified,7500,7471,,2
220,2,7500,,,104,male,unsp,unspecified,6308,6317,,1
221,2,7471,,,100,female,unsp,unspecified,3415,3316,,2
222,NA,8285,,,136,female,,,136m,7896,,2
223,NA,136m,dad,,129,male,,,7464,7470,,1
224,,O150,,,CU13/IL01,male,,Ophir,CU13m,IL01f,,
225,,CU13m,,,,male,,Ophir-Lineage,,,,
226,,IL01f,,,,female,,Ophir-Lineage,,,,
227,,O128,,,IL09/IL05,male,,Ophir,IL09m,IL05f,,
228,,IL09m,,,,male,,Ophir-Lineage,,,,
229,,IL05f,,,,female,,Ophir-Lineage,,,,
230,,O149,,,IL08/IL05,male,,Ophir,IL08m,IL05f,,
231,,IL08m,,,,male,,Ophir-Lineage,,,,
232,,O129,,,CU12/IL07,male,,Ophir,CU12m,IL07f,,
233,,CU12m,,,,male,,Ophir-Lineage,,,,
234,,IL07f,,,,female,,Ophir-Lineage,,,,
235,,O127,,,wild16-4/IL05,male,,Ophir,wild16-4m,IL05f,,
236,,wild16-4m,,,,male,,Ophir-Lineage,,,,
237,,IL05f,,,,female,,Ophir-Lineage,,,,
238,,O122,,,IL08/IL07,male,,Ophir,IL08m,IL07f,,
239,,IL08m,,,,male,,Ophir-Lineage,,,,
240,,IL07f,,,,female,,Ophir-Lineage,,,,
241,,O125,,,IL03/IL09,male,,Ophir,IL03m,IL09f,,
242,,IL03m,,,,male,,Ophir-Lineage,,,,
243,,IL09f,,,,female,,Ophir-Lineage,,,,
244,,O131,,,CU13/2146wild,female,,Ophir,CU13m,2146wildf,,
245,,CU13m,,,,male,,Ophir-Lineage,,,,
246,,2146wildf,,,,female,,Ophir-Lineage,,,,
247,,O130,,,IL08/IL14,female,,Ophir,IL08m,IL14f,,
248,,IL08m,,,,male,,Ophir-Lineage,,,,
249,,IL14f,,,,female,,Ophir-Lineage,,,,
250,,O148,,,IL14/IL07,female,,Ophir,IL14m,IL07f,,
251,,IL14m,,,,male,,Ophir-Lineage,,,,
252,,IL07f,,,,female,,Ophir-Lineage,,,,
253,,O147,,,IL01/IL06,female,,Ophir,IL01m,IL06f,,
254,,IL01m,,,,male,,Ophir-Lineage,,,,
255,,IL06f,,,,female,,Ophir-Lineage,,,,
256,,O146,,,2195wild/2143wild,female,,Ophir,2195wildm,2143wildf,,
257,,2195wildm,,,,male,,Ophir-Lineage,,,,
258,,2143wildf,,,,female,,Ophir-Lineage,,,,
259,,O123,,,IL05/IL01,female,,Ophir,IL05m,IL01f,,
260,,IL05m,,,,male,,Ophir-Lineage,,,,
261,,IL01f,,,,female,,Ophir-Lineage,,,,
262,,O124,,,IL05/IL01,female,,Ophir,IL05m,IL01f,,
263,,IL05m,,,,male,,Ophir-Lineage,,,,
264,,IL01f,,,,female,,Ophir-Lineage,,,,
265,,200b,,,200,male,,,148b1,O124,,
266,,201b,,,201,male,,,O125,147b,,
267,,202b,,,202,male,,,b1b1,O147,,
268,,203b,,,203,male,,,O149,150b1,,
269,,204b,,,204,male,,,143b,O130,,
270,,205b,,,205,male,,,c1b,O123,,
271,,206b,,,206,male,,,O150,c3b,,
272,,207b,,,207,female,,,O128,b2b,,
273,,208b,,,208,female,,,O127,139b,,
274,,209b,,,209,female,,,O122,151b,,
275,,210b,,,210,female,,,153b,O131,,
276,,211b,,,211,female,,,148b2,O146,,
277,,212b,,,212,female,,,b1b2,O148,,
278,,213b,,,213,female,,,O129,150b2,,
